product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,size,variation_type,variation_value,variation_desc,ingredients,price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,highlights,primary_category,secondary_category,tertiary_category,child_count,child_max_price,child_min_price
P503732,Skin Melt Talc-Free Loose Setting Powder,7103,Ami Colé,4978,4.5714,21,0. 29 oz / 8.6 g,Color,Rich / Deep,for rich to deep skin tones,"['Synthetic Fluorphlogopite, Silica, Lauroyl Lysine, Caprylic/Capric Triglyceride, Squalane, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Glycerin, Pentylene Glycol, Glyceryl Caprylate, Hectorite, Dehydroacetic Acid, Glyceryl Undecylenate, Amethyst Powder, Quartz, Aqua (Water). May Contain (+/-) CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77492 (Iron Oxides).']",22,0,0,1,0,1,"['Vegan', 'Loose Powder Formula', 'Clean at Sephora', 'Matte Finish', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Setting Spray & Powder,2,22,22
P503767,Skin-Enhancing Concealer,7103,Ami Colé,3551,4.6429,14,0.2 oz / 6 ml,Color,Rich 2.5,for rich skin with red undertones,"['Aqua (Water), Hydrogenated Lecithin, Isohexadecane, Isopropyl Myristate, Dimethicone, Dimethicone Crosspolymer, C18-36 Acid Glycol Ester, Glycerin, Propanediol, Adansonia Digitata Fruit Extract (Baobab Seed Extract), Hibiscus Sabdariffa Flower Extract, Cucurbita Pepo Seed Extract (Cucurbita Pepo (Pumpkin) Seed Extract), PEG-30 Dipolyhydroxystearate, Magnesium Sulfate, Citric Acid, Saccharide Isomerate, Sodium Citrate, Tocopheryl Acetate (Vitamin E), Silica, Phenoxyethanol, Ethylhexylglycerin, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract. May Contain (+/-) CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77499 (Iron Oxides).']",24,0,0,0,0,1,"['Vegan', 'Good for: Dark Circles', 'Clean at Sephora', 'Medium Coverage', 'Good for: Dark spots', 'Black Owned at Sephora']",Makeup,Face,Concealer,11,24,24
P503759,Ultra-Flex Clear Eyebrow Shaping Gel,7103,Ami Colé,2885,4.8889,9,0.18 oz / 5 ml,Color,Clear,,"['Water, VP/VA Copolymer, Alcohol Denat., Butylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Musa Sapientum (Banana) Fruit Extract, Hibiscus Sabdariffa Flower Extract, Adansonia Digitata Seed Extract.']",20,0,0,1,0,1,"['Vegan', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Eye,Eyebrow,0,,
P504779,Desert Date Cream Blush & Lip Multistick,7103,Ami Colé,2858,5,4,0.19 oz / 5.5 g,Color,Hibiscus,berry,"['Octyldodecanol, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, C10-18 Triglycerides, Microcrystalline Cellulose, Dilinoleic Acid/Propanediol Copolymer, Silica, Mica, Polyhydroxystearic Acid, Balanites Aegyptiaca Kernel Oil (Desert Date Oil), Adansonia Digitata Seed Oil, Hibiscus Sabdariffa Seed Oil, Tin Oxide, Tocopherol, Glycine Soja Oil, Benzyl Alcohol. May Contain/Peut Contenir: Titanium Dioxide (CI 7781), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 Lake (CI 15850).']",22,0,1,0,0,1,"['Natural Finish', 'Cream Formula', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Cheek,Blush,3,22,22
P202633,Brow Wiz Ultra-Slim Precision Brow Pencil,5746,Anastasia Beverly Hills,834189,4.4056,15885,0.003 oz/ 0.085 g,Color,Ash Brown,for grey hair with cool/ash undertones,,25,0,0,0,0,0,"['Vegan', 'Natural Finish', 'Community Favorite']",Makeup,Eye,Eyebrow,11,25,25
P384060,"DIPBROW Waterproof, Smudge Proof Brow Pomade",5746,Anastasia Beverly Hills,617437,4.6701,11158,0.14 oz/ 4 g,Color,Dark Brown,,"['Cyclopentasiloxane, Isododecane, Cyclohexasiloxane, Silica, Polyethylene, Trimethylsiloxysilicate, Ozokerite/Synthetic Wax, Bis-Diglyceryl Polyacyladipate-2, Silica Dimethyl Silylate, Mica, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Propylparaben, May Contain: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Bismuth Oxychloride (Ci 77163).']",21,0,0,0,0,0,"['Vegan', 'Cream Formula', 'Community Favorite', 'Full Coverage', 'Waterproof']",Makeup,Eye,Eyebrow,10,21,21
P404832,Eye Shadow Singles,5746,Anastasia Beverly Hills,605038,4.4696,790,0.059 oz/ 1.7 g,Color,Blazing,brick red (ultra-matte),"['Mica, Dimethicone, Boron Nitride, Nylon-12, Zinc Stearate, Zea Mays (Corn) Starch, Polymethylsilsesquioxane, Zinc Myristate, Cyclopentasiloxane, Glycerin, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Caprylyl Glycol, Hydrogenated Lecithin, Isopentyldiol, Lauroyl Lysine, Phenoxyethanol, Polysilicone-11, Tocopherol, May Contain/Peut Contenir: (+/-) Yellow 5 Lake (Ci 19140), Carmine (Ci 75470), Ultramarines (Ci 77007), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",12,0,0,0,0,0,,Makeup,Eye,Eyeshadow,0,,
P404831,Liquid Lipstick,5746,Anastasia Beverly Hills,583724,3.8268,4238,0.11 oz / 3.2 g,Color,Poet,dusty mauve,"['Isododecane, Trimethylsiloxysilicate, Boron Nitride, Nylon-12, Ozokerite, Mineral Oil, Disteardimonium Hectorite, Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Isohexadecane, Phenoxyethanol, Propylene Carbonate, Sodium Hyaluronate, Sodium Magnesium Silver Phosphate, Tocopheryl Acetate, Tripeptide-1, Xanthan Gum. May Contain (+/-): Red 7 Lake (Ci 15850), Red 6 (Ci 15850), Yellow 5 Lake (Ci 19140), Red 22 Lake (Ci 45380), Red 27 Lake (Ci 45410), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",20,0,0,0,0,0,,Makeup,Lip,Lipstick,17,20,20
P386335,Contour Kit,5746,Anastasia Beverly Hills,251086,4.0975,2399,6 pans x 0.11 oz/ 3.12 g,Color,Light to Medium,,"['Java, Vanilla, Fawn, Havana, and Banana:', 'Talc, Mica, Silica, Boron Nitride, Nylon-12, Ethylhexyl Palmitate, Magnesium Stearate, Octyldodecyl Stearoyl Stearate, Dimethicone, Triethoxycaprylylsilane, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Phenoxyethanol, Methylparaben, Propylparaben, May Contain (+/-): Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).', 'Sand:', 'Mica, Talc, Silica, Boron Nitride, Nylon-12, Ethylhexyl Palmitate, Magnesium Stearate, Octyldodecyl Stearoyl Stearate, Triethoxycaprylylsilane, Dimethicone, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Phenoxyethanol, Methylparaben, Propylparaben, May Contain (+/-): Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 7789).']",40,0,0,0,0,0,,Makeup,Face,Contour,0,,
P404827,Brow Definer 3-in-1 Triangle Tip,5746,Anastasia Beverly Hills,231041,4.0746,4127,,Color,Ash Brown,for grey hair with cool/ash undertones,,26,0,0,0,0,0,"['Natural Finish', 'Good for: Volume', 'Stick Formula', 'Community Favorite']",Makeup,Eye,Eyebrow,11,26,26
